Ain
Alif or Alif Madda
aRay
Bari yeh
Bay
Cahy
chotti yeh
chotti Hay
Daal
Dal
Do Chashmi Hay
Fay
Gaaf
Ghain
Hamza
hey
jeem
Kaaf
khay
Laam
Meem
Noon
pay
Qaaf
Ray
Say
Seen
Sheen
Suaad
Tay
Toayn
Wow
Zaal
Zaal
Zay
Zoayn
Zuaad
Zzay
